,Customers,Old ID,New 7 Digit ID
,Planet of the Grapes,76,Planet of the Grapes
,Lord of the Fries,112,Lord of the Fries
,Hurry Curry,3604,Eggecilent Eats
,Eggecilent Eats,6,Wok This Way
,Thai Tanic,51,Pho Shizzle
,Wok This Way,912,
,Pho Shizzle,6540,
,Mustard's Last Stand,36,
,Life of Pie,6603,
,Basic Kneads Pizza,730,
,Earth Wind And Flour,13500,
,9021 Pho,8,
,Sweet Cheezus,54,
,Fishstecque,21540,
,Grill 'Em All,2,
,A Cut Above,11,
,Fro-ternity,897,
,Jack the Clipper,38,
,My Hair Lady,288,
,The Director’s Cut,1716,
,Love Me 'Do,4,
,Highway to Heaven,81,
,Live and Let Dye,383,
,Time to Dye,66,
,"Knock Knock, Who's Hair?",5606,
,Curl Me Crazy,3209,
,Fiddler on the Tooth,51,
,Come Stain or Slime,183,
,Kick the Bucket,2420,
